String ID,Source text,Translation,Context,Path,Filename
1,P,Pé/.,,BETAFLIGHT,p.wav
2,I,i/.,,BETAFLIGHT,i.wav
3,D,D,,BETAFLIGHT,d.wav
4,D setpoint,Setpoint D,,BETAFLIGHT,dsetpt.wav
5,acro mode,Mode acro,,INAV,acromd.wav
6,active,actif,,INAV,active.wav
7,altitude hold,Maintien d'altitude,,INAV,althld.wav
8,angle mode,Mode angle,,INAV,anglmd.wav
9,battery critical,Batterie critique,,INAV,batcrt.wav
10,Low battery,Batterie faible,,INAV,batlow.wav
11,battery,batterie,,INAV,battry.wav
12,cruise mode,Mode croisière,,INAV,cruzmd.wav
13,danger,danger,,INAV,danger.wav
14,engines armed,Moteurs armés,,INAV,engarm.wav
15,engines disarmed,Moteurs désarmés,,INAV,engdrm.wav
16,failsafe off,Feilseife désactivé,,INAV,fsoff.wav
17,failsafe on,Feilseife activé,,INAV,fson.wav
18,good,bon,,INAV,good.wav
19,GPS,GPS,,INAV,gps.wav
20,heading hold active,Maintien de cap actif,,INAV,hedhlda.wav
21,heading hold,maintien de cap,,INAV,hedhld.wav
22,headfree active,Vue libre active,,INAV,hfact.wav
23,headfree off,Vue libre coupé,,INAV,hfoff.wav
24,home reset,Point maison réinitialisé,,INAV,homrst.wav
25,horizon mode,Mode horizon,,INAV,hrznmd.wav
26,lost,perdu,,INAV,lost.wav
27,manual mode,Mode manuel,,INAV,manmd.wav
28,normal,normal,,INAV,normal.wav
29,off,coupé,,INAV,off.wav
30,on,activé,,INAV,on.wav
31,position hold,Maintien de position,,INAV,poshld.wav
32,ready to fly,Prêt à voler,,INAV,ready.wav
33,return to launch,Retour au point de départ,,INAV,rtl.wav
34,too high,trop haut,,INAV,toohgh.wav
35,warning,Alerte,,INAV,warnng.wav
36,waypoint,Point de passage,,INAV,waypt.wav
37,Auto Tune,Autotune,,INAV,autotn.wav
38,Auto Level Trim,Trim d'auto-nivellement,,INAV,autolm.wav
39,Soaring,Vol planeur,,INAV,soarng.wav
40,Beeper,Buzzer,,INAV,beeper.wav
41,Acro flight mode,Mode de vol acro,,YAAPU,acro.wav
42,Acro mode,Mode acro,,YAAPU,acro_r.wav
43,Altitude,altitude,,YAAPU,alt.wav
44,Altitude hold flight mode,Mode de vol maintien d'altitude,,YAAPU,althold.wav
45,Motors armed,Moteurs armés,,YAAPU,armed.wav
46,Auto flight mode,Mode de vol automatique,,YAAPU,auto.wav
47,Auto mode,Mode automatique,,YAAPU,auto_r.wav
48,Auto RTL flight mode,Mode de vol retour automatique,,YAAPU,autortl.wav
49,Autotune enabled,Autotune activé,,YAAPU,autotune.wav
50,Avoid A D S B flight mode,Mode de vol évitement A-D-S-B,,YAAPU,avoidadsb.wav
51,Battery at 5 percent,Batterie à 5 pourcents,,YAAPU,bat5.wav
52,Battery at 10 percent,Batterie à 10 pourcents,,YAAPU,bat10.wav
53,Battery at 15 percent,Batterie à 15 pourcents,,YAAPU,bat15.wav
54,Battery at 20 percent,Batterie à 20 pourcents,,YAAPU,bat20.wav
55,Battery at 25 percent,Batterie à 25 pourcents,,YAAPU,bat25.wav
56,Battery at 30 percent,Batterie à 30 pourcents,,YAAPU,bat30.wav
57,Battery at 40 percent,Batterie à 40 pourcents,,YAAPU,bat40.wav
58,Battery at 50 percent,Batterie à 50 pourcents,,YAAPU,bat50.wav
59,Battery at 60 percent,Batterie à 60 pourcents,,YAAPU,bat60.wav
60,Battery at 70 percent,Batterie à 70 pourcents,,YAAPU,bat70.wav
61,Battery at 80 percent,Batterie à 80 pourcents,,YAAPU,bat80.wav
62,Battery at 90 percent,Batterie à 90 pourcents,,YAAPU,bat90.wav
63,Battery alert,Alerte batterie,,YAAPU,batalert.wav
64,Battery level 1 alert,Alerte niveau de batterie 1,,YAAPU,batalert1.wav
65,Battery level 2 alert,Alerte niveau de batterie 2,,YAAPU,batalert2.wav
66,Brake flight mode,Mode de vol frein,,YAAPU,brake.wav
67,Circle flight mode,Mode de vol cercle,,YAAPU,circle.wav
68,Cruise flight mode,Mode de vol croisière,,YAAPU,cruise.wav
69,Motors disarmed,Moteurs désarmés,,YAAPU,disarmed.wav
70,Distance,distance,,YAAPU,dist.wav
71,Drift flight mode,Mode de vol dérive,,YAAPU,drift.wav
72,E K F failsafe,Feilseife E K F,,YAAPU,ekf.wav
73,failsafe,feilseife,,YAAPU,failsafe.wav
74,fence enabled,Géoclôture activée,,YAAPU,fence.wav
75,fence breach,Géoclôture franchie,,YAAPU,fencebreach.wav
76,Flip flight mode,Mode de vol flipe,,YAAPU,flip.wav
77,flow position hold flight mode,Mode de vol maintien de position optique,,YAAPU,flowhold.wav
78,Fly by wire a flight mode,Mode de vol fly by wire A,,YAAPU,flybywirea.wav
79,Fly by wire b flight mode,Mode de vol fly by wire B,,YAAPU,flybywireb.wav
80,follow flight mode,Mode de vol suiveur,,YAAPU,follow.wav
81,follow mode,Mode suiveur,,YAAPU,follow_r.wav
82,GPS 3D fix lock,Position GPS 3D acquise,,YAAPU,gpsfix.wav
